Make,Model,Variant,ExShowroomPrice,Displacement,Cylinders,ValvesPerCylinder,Drivetrain,CylinderConfiguration,EmissionNorm,Engine_ocation,FuelSystem,FuelTankCapacity,FuelType,Height,Length,Width,BodyType,Doors,CityMileage,HighwayMileage
Mahindra,Tuv300,T10 Dual Tone,1022930,1493 cc,3,4,RWD (Rear Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,60,Diesel,1839,3995,1835,SUV,5,18.49,
Mahindra,Tuv300,T10 (O) Dual Tone,1055259,1493 cc,3,4,RWD (Rear Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,60,Diesel,1839,3995,1835,SUV,5,18.49,
Maruti Suzuki,S-Cross,1.3L Sigma,880689,248 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,48,Diesel,1595,4300,1785,Crossover,5,23.65,
Maruti Suzuki,S-Cross,1.3L Delta,92689,248 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,48,Diesel,1595,4300,1785,Crossover,5,23.65,
Maruti Suzuki,S-Cross,1.3L Zeta,1043689,248 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,48,Diesel,1595,4300,1785,Crossover,5,23.65,
Maruti Suzuki,S-Cross,1.3L Alpha,1143689,248 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,48,Diesel,1595,4300,1785,Crossover,5,23.65,
Renault,Captur,Rxe Petrol,949999,1498 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Petrol,1619,429,1813,SUV,5,,
Renault,Captur,Rxe Diesel,1049999,1461 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,50,Diesel,1619,429,1813,SUV,5,,
Renault,Captur,Platine Diesel Dual Tone,299999,1461 cc,4,,FWD (Front Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,50,Diesel,1619,429,1813,SUV,5,,
Renault,Captur,Platine Petrol Dual Tone,1199999,1498 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Petrol,1619,429,1813,SUV,5,,
